Belmopan,Guatemala,plane,3,323,,,,,,,
Belmopan,Lima,plane,27.25,843,,,,,,,
Belmopan,London,plane,38.67,1272,,,,,,,
Belmopan,Mexico,plane,33.17,488,,,,,,,
Belmopan,Pretoria (Use Johannesburg),plane,35.75,3190,,,,,,,
Belmopan,Singapore,plane,46.5,2647,,,,,,,
Belmopan,Singapore,plane,46.5,2647,,,,,,,
Belmopan,Washington DC,plane,7.03,488,,,,,,,
Berlin,Amsterdam,train,6.35,185,,,,,,,
Berlin,Bern,train,8.27,341,,,,,,,
Berlin,Brussels,train,6.2,242,,,,,,,
Berlin,Canberra (Use Sydney),plane,41.83,1013,,,,,,,
Berlin,Copenhagen,train,6.47,221,,,,,,,
Berlin,Lima,plane,27.13,957,,,,,,,
Berlin,London,plane,1.92,174,,,,,,,
Berlin,Luxembourg,train,7.7,276,,,,,,,
Berlin,Paris,train,9.35,311,,,,,,,
Berlin,Prague,train,4.5,114,,,,,,,
Berlin,Pretoria (Use Johannesburg),plane,16.17,614,,,,,,,
Berlin,Singapore,plane,34.92,739,,,,,,,
Berlin,Sofia,plane,2.3,172,,,,,,,
Berlin,Vienna,train,9.27,286,,,,,,,
Berlin,Warsaw,train,5.47,65,,,,,,,
Berlin,Washington DC,plane,18.42,826,,,,,,,
Bern,Berlin,train,12,220,,,,,,,
Bern,Canberra (Use Sydney),plane,28.5,2050,,,,,,,
Bern,Lima,plane,36,3450,,,,,,,
Bern,London,plane,8,480,,,,,,,
Bern,Paris,train,7,200,,,,,,,
Bern,Pretoria (Use Johannesburg),plane,24.8,1790,,,,,,,
Bern,Rome,plane,1.8,460,,,,,,,
Bern,Singapore,plane,27.1,4500,,,,,,,
Bern,Vaduz,bus,2.5,260,,,,,,,
Bern,Vienna,train,10,150,,,,,,,
Bern,Washington DC,plane,14,5200,,,,,,,
Bishkek,Astana,plane,4,963,,,,,,,
Bishkek,Beijing,plane,10,400,,,,,,,
Bishkek,Tashkent,bus,12,5.22,,,,,,,
Bissau,Doha,plane,17,2693,,,,,,,
Bogota,Brasilia,plane,13,1215,,,,,,,
Bogota,Brasilia,plane,5.17,766,,,,,,,
Bogota,Canberra (Use Sydney),plane,32,2303,,,,,,,
Bogota,Canberra (Use Sydney),plane,42.32,2234,,,,,,,
Bogota,Caracas,plane,2,619,,,,,,,
Bogota,Lima,plane,2.9,593,,,,,,,
Bogota,Lima,plane,9,933,,,,,,,
